ID,author_year,country,cohort_name,cohort_abbrev,study_design,estimateType,analysis_type,temporality,exposure_characteristic,exposure_dx_class,outcome_characteristic,outcome_dx_class,dx_pair,exposure_modified_label,outcome_modified_label,pair,mood_anx_unadj,mood_anx_adj,bi3_ago_unadj,bi3_ago_adj,bi3_ocd_unadj,bi3_ocd_adj,bi3_gad_unadj,bi3_gad_adj,bi3_pd_unadj,bi3_pd_adj,bi3_pts_unadj,bi3_pts_adj,bi3_so_unadj,bi3_so_adj,bi3_sp_unadj,bi3_sp_adj,bi3_anx_unadj,bi3_anx_adj,dep_ocd_unadj,dep_ocd_adj,dep_gad_unadj,dep_gad_adj,dep_pds_unadj,dep_pds_adj,dep_pts_unadj,dep_pts_adj,dep_so_unadj,dep_so_adj,dep_sp_unadj,dep_sp_adj,dep_anx_unadj,dep_anx_adj,dep_ago_unadj,dep_ago_adj,dys_ago_unadj,dys_ago_adj,dys_ocd_unadj,dys_ocd_adj,dys_gad_unadj,dys_gad_adj,dys_pds_unadj,dys_pds_adj,dys_pts_unadj,dys_pts_adj,dys_so_unadj,dys_so_adj,dys_sp_unadj,dys_sp_adj,dys_anx_unadj,dys_anx_adj,mood_gad_unadj,mood_gad_adj,mood_so_unadj,mood_so_adj,mood_sp_unadj,mood_sp_adj,type1,UnadjRate1,UnadjLowerCI1,UnadjUpperCI1,PValue_Unadjusted,type2,AdjRate1,AdjLowerCI1,AdjUpperCI1,PValue_Adjusted,type3,a,c,b,d
96,"Weissman et al, 1996",New Zealand,The Christchurch Psychiatric Epidemiology Study (CPES),CPES,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-OCD,depression,OCD,depression-OCD,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.7,1.5,9,,,,,,
97,"Weissman et al, 1997",France,Savigny France study,The Savigny France study,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-panic disorder,depression,panic disorder,depression-panic disorder,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.8,2.1,7.1,,,,,,
99,"Ohayon & Schatzberg, 2010",Multiple countries,,,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,MDD-agoraphobia,depression,agoraphobia,depression-agoraphobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,Overall,11.7,7.5,18.3,,,,,,,,,,,
99,"Ohayon & Schatzberg, 2010",Multiple countries,,,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,MDD-panic disorder,depression,panic disorder,depression-panic disorder,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,12.9,9.4,17.8,,,,,,,,,,,
99,"Ohayon & Schatzberg, 2010",Multiple countries,,,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,MDD-GAD,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,16.1,11.7,22.1,,,,,,,,,,,
99,"Ohayon & Schatzberg, 2010",Multiple countries,,,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,MDD-OCD,depression,OCD,depression-OCD,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.9,5.2,11.8,,,,,,,,,,,
99,"Ohayon & Schatzberg, 2010",Multiple countries,,,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,MDD-PTSD,depression,PTSD,depression-PTSD,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,15.5,10.9,21.9,,,,,,,,,,,
99,"Ohayon & Schatzberg, 2010",Multiple countries,,,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,MDD-specific phobia,depression,specific phobia,depression-specific phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.8,2,3.8,,,,,,,,,,,
100,"van Balkom et al, 2000",Netherlands,The Longitudinal Aging Study Amsterdam (LASA),LASA,prospective cohort,odds ratios,logistic regression,period-prevalence,6-month,mood disorder,6-month,anxiety disorder,MDD-panic disorder,depression,panic disorder,depression-panic disorder,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,19.3,3.6,103.5,,,,,,,,,,,
100,"van Balkom et al, 2000",Netherlands,The Longitudinal Aging Study Amsterdam (LASA),LASA,prospective cohort,odds ratios,logistic regression,period-prevalence,6-month,mood disorder,6-month,anxiety disorder,MDD-phobic disorder,depression,phobia disorder,depression-phobia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.4,1.1,17,,,,,,,,,,,
100,"van Balkom et al, 2000",Netherlands,The Longitudinal Aging Study Amsterdam (LASA),LASA,prospective cohort,odds ratios,logistic regression,period-prevalence,6-month,mood disorder,6-month,anxiety disorder,MDD-OCD,depression,OCD,depression-OCD,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,11.8,1.3,103.1,,,,,,,,,,,
100,"van Balkom et al, 2000",Netherlands,The Longitudinal Aging Study Amsterdam (LASA),LASA,prospective cohort,odds ratios,logistic regression,period-prevalence,6-month,mood disorder,6-month,anxiety disorder,MDD-GAD,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.3,2.4,16.2,,,,,,,,,,,
101,"Van Ameringen et al, 2008",Canada,,,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,PTSD-MDD,PTSD,depression,PTSD-depression,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.36,4.44,9.11,,,,,,,,,,,
102,"Tsuchiya et al, 2009",Japan,The World Mental Health Japan (WMH-J) ,WMHS-J,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,social phobia-MDD,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.9,1.2,11.7,,,,,,
102,"Tsuchiya et al, 2009",Japan,The World Mental Health Japan (WMH-J) ,WMHS-J,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,agoraphobia without panic-MDD,agoraphobia,depression,agoraphobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.4,1.4,30,,,,,,
102,"Tsuchiya et al, 2009",Japan,The World Mental Health Japan (WMH-J) ,WMHS-J,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,specific phobia-MDD,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.3,1.2,4.5,,,,,,
103,"van Loo et al, 2016",Netherlands,LifeLines,LifeLines,population-based cohort,odds ratios,logistic regression,period-prevalence,2-weeks,mood disorder,6-month,anxiety disorder,MDD-GAD,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,42.6,38.1,47.7,,,,,,,,,,,
105,"Kessler et al, 1999",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,social phobia-bipolar disorder,social phobia,bipolar disorder,social phobia-bipolar disorder,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.9,1.8,19.6,,,,,,
106,"Kessler et al, 2002",Multiple countries,International Consortium in Psychiatric Epidemiology (ICPE),ICPE,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,dysthymia-GAD,dysthymia,GAD,dysthymia-GAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,Overall,13.9,11.8,16.3,,,,,,,,,,,
106,"Kessler et al, 2002",Multiple countries,International Consortium in Psychiatric Epidemiology (ICPE),ICPE,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,major depression-GAD,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,12,10.2,14.1,,,,,,,,,,,
106,"Kessler et al, 2002",Multiple countries,International Consortium in Psychiatric Epidemiology (ICPE),ICPE,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,mood disorder-GAD,mood disorder,GAD,mood disorder-GAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,Overall,16.1,13.7,19,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,8.2,5,13.5,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,agoraphobia-MDD,agoraphobia,depression,agoraphobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,Overall,3.4,2.5,4.6,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,agoraphobia-MDD,agoraphobia,depression,agoraphobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,Overall,4.4,2.8,6.9,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,simple phobia-MDD,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.1,2.5,3.8,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,simple phobia-MDD,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.7,2.8,4.8,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,social phobia-MDD,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.9,2.3,3.6,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,social phobia-MDD,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.3,2.4,4.5,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,PTSD-MDD,PTSD,depression,PTSD-depression,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4,3.1,5.2,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,PTSD-MDD,PTSD,depression,PTSD-depression,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6,4.1,8.6,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,anxiety disorder-MDD,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.2,3.4,5.2,,,,,,,,,,,
107,"Kessler et al, 1996",USA,The National Comorbidity Survey (NCS),NCS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,anxiety disorder-MDD,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.1,4.3,6,,,,,,,,,,,
108,"Kang et al, 2016",South Korea,,,prospective cohort,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,depression-anxiety,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Overall,10.34,6.74,15.86,,Overall,6.52,4.16,10.24,,,,,,
109,"Romano et al, 2005",Canada,French Adolescent Community Sample,French Adolescent Community Sample,prospective cohort,odds ratios,logistic regression,period-prevalence,6-month,anxiety disorder,6-month,mood disorder,anxiety disorder-depression,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Overall,13.2,7.5,23.2,,,,,,,,,,,
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,61,382,67,2443
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,panic disorder-MDD,panic disorder,depression,panic disorder-depression,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,55,388,74,2436
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,agoraphobia-MDD,agoraphobia,depression,agoraphobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,138,305,313,2197
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,social phobia-MDD,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,78,365,111,2399
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,simple phobia-MDD,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,51,392,136,2374
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,GAD-bipolar II disorder,GAD,bipolar II,GAD-bipolar disorder,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,15,104,241,5546
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,panic disorder-bipolar II disorder,panic disorder,bipolar II,panic disorder-bipolar disorder,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,10,109,248,5539
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,agoraphobia-bipolar II disorder,agoraphobia,bipolar II,agoraphobia-bipolar disorder,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,30,89,872,4915
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,social phobia-bipolar II disorder,social phobia,bipolar II,social phobia-bipolar disorder,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7,112,371,5416
110,"Rihmer et al, 2001",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,simple phobia-bipolar II disorder,specific phobia,bipolar II,specific phobia-bipolar disorder,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,13,106,361,5426
111,"Prina et al, 2011",Cuba,10/66 Survey,10/66 Survey,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,anxiety disorder,,mood disorder,anxiety disorder-depression,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,44,100,80,2720
111,"Prina et al, 2011",Dominican Republic,10/66 Survey,10/66 Survey,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,anxiety disorder,,mood disorder,anxiety disorder-depression,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,85,193,94,1629
111,"Prina et al, 2011",Peru,10/66 Survey,10/66 Survey,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,anxiety disorder,,mood disorder,anxiety disorder-depression,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,38,65,98,1732
111,"Prina et al, 2011",Venezuela,10/66 Survey,10/66 Survey,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,anxiety disorder,,mood disorder,anxiety disorder-depression,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,54,53,104,1754
111,"Prina et al, 2011",Mexico,10/66 Survey,10/66 Survey,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,anxiety disorder,,mood disorder,anxiety disorder-depression,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,24,68,80,1831
111,"Prina et al, 2011",China,10/66 Survey,10/66 Survey,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,anxiety disorder,,mood disorder,anxiety disorder-depression,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1,9,3,2149
111,"Prina et al, 2011",India,10/66 Survey,10/66 Survey,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,anxiety disorder,,mood disorder,anxiety disorder-depression,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,19,145,27,1812
113,"Pakriev et al, 1998",Russia,,,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,mood disorder-social phobia,mood disorder,social phobia,mood disorder-social phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,Overall,1.86,1.4,2.47,,,,,,,,,,,
113,"Pakriev et al, 1998",Russia,,,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,mood disorder-specific phobia,mood disorder,specific phobia,mood disorder-specific phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Overall,1.47,0.6,3.63,,,,,,,,,,,
115,"Munyandamutsa et al, 2012",Rwanda,,,cross-sectional,odds ratios,logistic regression,period-prevalence,1-month,anxiety disorder,1-month,mood disorder,PTSD-MDE,PTSD,depression,PTSD-depression,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,30.5,20.5,45.4,,,,,,,,,,,
116,"Mohammadi et al, 2007",Iran,Iran national survey,Iran national survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,OCD-MDD,OCD,depression,OCD-depression,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1.6,0.73,3.66,,,,,,,,,,,
116,"Mohammadi et al, 2007",Iran,Iran national survey,Iran national survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,OCD-bipolar II disorder,OCD,bipolar II,OCD-bipolar disorder,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,0.11,0.03,0.41,,,,,,,,,,,
117,"Mohammadi et al, 2006",Iran,Iran national survey,Iran national survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,social phobia-MDD,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.76,3.91,8.5,,,,,,,,,,,
117,"Mohammadi et al, 2006",Iran,Iran national survey,Iran national survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,social phobia-bipolar I disorder,social phobia,bipolar I,social phobia-bipolar disorder,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.52,3.41,12.47,,,,,,,,,,,
118,"Merikangas et al, 2011",Multiple countries,The World Mental Health Survey (WMHS),WMHS ,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar I disorder-agoraphobia without panic,bipolar I,agoraphobia,bipolar disorder-agoraphobia,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.84,5.22,11.78,,,,,,
118,"Merikangas et al, 2011",Multiple countries,The World Mental Health Survey (WMHS),WMHS ,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar I disorder-panic disorder,bipolar I,panic disorder,bipolar disorder-panic disorder,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.84,6.57,9.35,,,,,,
118,"Merikangas et al, 2011",Multiple countries,The World Mental Health Survey (WMHS),WMHS ,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar I disorder-PTSD,bipolar I,PTSD,bipolar disorder-PTSD,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.24,5.68,9.23,,,,,,
118,"Merikangas et al, 2011",Multiple countries,The World Mental Health Survey (WMHS),WMHS ,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar I disorder-GAD,bipolar I,GAD,bipolar disorder-GAD,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,8.4,6.82,10.35,,,,,,
118,"Merikangas et al, 2011",Multiple countries,The World Mental Health Survey (WMHS),WMHS ,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar I disorder-specific phobia,bipolar I,specific phobia,bipolar disorder-specific phobia,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6,5.01,7.18,,,,,,
118,"Merikangas et al, 2011",Multiple countries,The World Mental Health Survey (WMHS),WMHS ,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar I disorder-social phobia,bipolar I,social phobia,bipolar disorder-social phobia,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.9,5.61,8.49,,,,,,
118,"Merikangas et al, 2011",Multiple countries,The World Mental Health Survey (WMHS),WMHS ,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar I disorder-OCD,bipolar I,OCD,bipolar disorder-OCD,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,8.15,5.7,11.67,,,,,,
118,"Merikangas et al, 2011",Multiple countries,The World Mental Health Survey (WMHS),WMHS ,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar I disorder-separation anxiety disorder,bipolar I,SAD,bipolar I-SAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.5,4.5,9.3,,,,,,
